,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
78,squared_error,8,sqrt,5e-05,square,2000,88,-13.448974076662754
79,squared_error,8,sqrt,5e-05,square,2500,88,-13.448154562125826
80,squared_error,8,sqrt,0.0001,square,500,88,-13.462426163008775
81,squared_error,8,sqrt,0.0001,square,1000,88,-13.45306655942764
82,squared_error,8,sqrt,0.0001,square,1500,88,-13.451135135791276
83,squared_error,8,sqrt,0.0001,square,2000,88,-13.45226838225911
84,squared_error,8,sqrt,0.0001,square,2500,88,-13.451380194045072
85,squared_error,8,sqrt,0.0002,square,500,88,-13.452234250112259
86,squared_error,8,sqrt,0.0002,square,1000,88,-13.452896025179182
87,squared_error,8,sqrt,0.0002,square,1500,88,-13.44987162841015
88,squared_error,8,sqrt,0.0002,square,2000,88,-13.452891652440016
89,squared_error,8,sqrt,0.0002,square,2500,88,-13.451002984059977
90,squared_error,9,sqrt,5e-05,square,500,88,-13.44079533557625
91,squared_error,9,sqrt,5e-05,square,1000,88,-13.439134607478653
92,squared_error,9,sqrt,5e-05,square,1500,88,-13.439949346352766
93,squared_error,9,sqrt,5e-05,square,2000,88,-13.441231138151213
94,squared_error,9,sqrt,5e-05,square,2500,88,-13.442371429408732
95,squared_error,9,sqrt,0.0001,square,500,88,-13.440194250956981
96,squared_error,9,sqrt,0.0001,square,1000,88,-13.438856604688123
97,squared_error,9,sqrt,0.0001,square,1500,88,-13.441689817684864
98,squared_error,9,sqrt,0.0001,square,2000,88,-13.43917552283493
99,squared_error,9,sqrt,0.0001,square,2500,88,-13.441140942711694
100,squared_error,9,sqrt,0.0002,square,500,88,-13.459380667959163
101,squared_error,9,sqrt,0.0002,square,1000,88,-13.457067549225783
102,squared_error,9,sqrt,0.0002,square,1500,88,-13.450733110569786
103,squared_error,9,sqrt,0.0002,square,2000,88,-13.447161800636431
104,squared_error,9,sqrt,0.0002,square,2500,88,-13.448594691135607
105,squared_error,10,sqrt,5e-05,square,500,88,-13.433983220686466
106,squared_error,10,sqrt,5e-05,square,1000,88,-13.439351378886624
107,squared_error,10,sqrt,5e-05,square,1500,88,-13.437531235340145
108,squared_error,10,sqrt,5e-05,square,2000,88,-13.438833056198817
109,squared_error,10,sqrt,5e-05,square,2500,88,-13.439611852678556
110,squared_error,10,sqrt,0.0001,square,500,88,-13.43518743750713
111,squared_error,10,sqrt,0.0001,square,1000,88,-13.433458182790861
112,squared_error,10,sqrt,0.0001,square,1500,88,-13.437577426445475
113,squared_error,10,sqrt,0.0001,square,2000,88,-13.441127350885202
114,squared_error,10,sqrt,0.0001,square,2500,88,-13.44374733983442
115,squared_error,10,sqrt,0.0002,square,500,88,-13.445188055373546
116,squared_error,10,sqrt,0.0002,square,1000,88,-13.446650857403089
117,squared_error,10,sqrt,0.0002,square,1500,88,-13.447491473094525
118,squared_error,10,sqrt,0.0002,square,2000,88,-13.443057155509365
119,squared_error,10,sqrt,0.0002,square,2500,88,-13.446065697602114
120,squared_error,11,sqrt,5e-05,square,500,88,-13.436606900194409
121,squared_error,11,sqrt,5e-05,square,1000,88,-13.43999382905379
122,squared_error,11,sqrt,5e-05,square,1500,88,-13.4431487886541
123,squared_error,11,sqrt,5e-05,square,2000,88,-13.44458982390351
124,squared_error,11,sqrt,5e-05,square,2500,88,-13.441953325725716
125,squared_error,11,sqrt,0.0001,square,500,88,-13.44940082052785
126,squared_error,11,sqrt,0.0001,square,1000,88,-13.445287197543067
127,squared_error,11,sqrt,0.0001,square,1500,88,-13.44299257750744
128,squared_error,11,sqrt,0.0001,square,2000,88,-13.445089994007793
129,squared_error,11,sqrt,0.0001,square,2500,88,-13.44563514419215
130,squared_error,11,sqrt,0.0002,square,500,88,-13.443363161384166
