verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Arizona Cardinals,Sun,01:05:00,Carolina Panthers,L,2022,4,@,crd,,,,,,,,,,,,,,,,,,,,,,,Carolina Panthers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New England Patriots,Sun,01:25:00,Green Bay Packers,M,2022,4,@,nwe,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Denver Broncos,Sun,01:25:00,Las Vegas Raiders,N,2022,4,@,den,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Kansas City Chiefs,Sun,05:20:00,Tampa Bay Buccaneers,O,2022,4,@,kan,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Minnesota Vikings,Sun,06:30:00,New Orleans Saints,B,2022,4,@,min,,,,,,,,,,,,,,,,,,,,,,,Minnesota Vikings -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cleveland Browns,Sun,10:00:00,Atlanta Falcons,C,2022,4,@,cle,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Washington Redskins,Sun,10:00:00,Dallas Cowboys,D,2022,4,@,was,,,,,,,,,,,,,,,,,,,,,,,Dallas Cowboys -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Seattle Seahawks,Sun,10:00:00,Detroit Lions,E,2022,4,@,sea,,,,,,,,,,,,,,,,,,,,,,,Detroit Lions -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tennessee Titans,Sun,10:00:00,Indianapolis Colts,F,2022,4,@,oti,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Chicago Bears,Sun,10:00:00,New York Giants,G,2022,4,@,chi,,,,,,,,,,,,,,,,,,,,,,,New York Giants -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Jacksonville Jaguars,Sun,10:00:00,Philadelphia Eagles,H,2022,4,@,jax,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Jets,Sun,10:00:00,Pittsburgh Steelers,I,2022,4,@,nyj,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh Steelers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Buffalo Bills,Sun,10:00:00,Baltimore Ravens,J,2022,4,@,buf,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Chargers,Sun,10:00:00,Houston Texans,K,2022,4,@,sdg,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Rams,Mon,05:15:00,San Francisco 49ers,P,2022,4,@,ram,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
