,year,week,Home_Team,Away_Team,Home_Win,Home_Fav,Home_Vegas_Spread,Home_Actual_Spread,Home_Score,Away_Score,Trail_Home_Score,Trail_Away_Score,Home_Allowed,Away_Allowed,Home_TO,Away_TO,Home_FTO,Away_FTO,Home_Pass_Eff,Away_Pass_Eff,Home_Pass_Def,Away_Pass_Def,Home_Rush_Eff,Away_Rush_Eff,Home_Rush_Def,Away_Rush_Def,Home_Pen_Yds,Away_Pen_Yds,Home_Pen_Yds_Agg,Away_Pen_Yds_Agg,Home_Third_Eff,Away_Third_Eff,Home_Third_Def,Away_Third_Def,Home_Fourth_Eff,Away_Fourth_Eff,Home_Fourth_Def,Away_Fourth_Def,boxscore_url,wonLast,lostLast,lostLastAsFav,wonLastAsDog,Home_Off_Rank,Home_Def_Rank,Away_Off_Rank,Away_Def_Rank
40,2012,3,den,htx,L,-1,1.5,6.0,25.0,31.0,21.0,27.0,27.0,7.0,4.0,0.0,0.0,1.0,6.513513513513513,5.571428571428571,6.083333333333333,3.619047619047619,4.37037037037037,4.5,2.392857142857143,4.642857142857143,96.0,64.0,72.0,71.0,0.2399616996726774,0.4699200160517897,0.3329105455732007,-0.5453273071146856,4.496396382361285,4.496396382361285,0.7326780758318667,0.7326780758318667,/boxscores/201209230den.htm,0,1,0,0,,,,
41,2012,3,oti,det,W,-1,4.0,-3.0,44.0,41.0,10.0,19.0,38.0,27.0,1.0,1.0,1.0,1.0,5.8,7.1875,8.875,7.290322580645161,3.8,3.1538461538461537,3.7948717948717943,5.481481481481482,59.0,67.0,41.0,62.0,-0.3059183136820865,0.365747380370394,0.6341647230617993,0.2788096102953982,0.7326780758318661,4.496396382361285,4.496396382361247,0.7326780758318667,/boxscores/201209230oti.htm,0,1,0,0,,,,
42,2012,3,sea,gnb,W,-1,3.5,-2.0,14.0,12.0,27.0,23.0,7.0,10.0,0.0,2.0,2.0,4.0,7.55,7.454545454545454,6.275,4.666666666666667,4.439024390243903,3.7857142857142856,3.0625,4.086956521739131,35.0,54.0,47.0,65.0,0.2966337374923472,0.1876651014330936,0.5775004454782281,0.2674861378825303,0.2981824204090013,4.496396382361285,0.7326780758318667,0.2981824204090009,/boxscores/201209240sea.htm,1,0,0,0,,,,
43,2012,3,clt,jax,L,1,-3.0,5.0,17.0,22.0,23.0,7.0,20.0,27.0,0.0,1.0,1.0,0.0,7.225806451612903,3.619047619047619,7.0,5.571428571428571,2.8,4.642857142857143,3.6538461538461537,4.5,51.0,71.0,105.0,64.0,0.4224938520157102,-0.5453273071146859,0.4640086228582573,0.4699200160517896,0.7326780758318661,0.7326780758318661,4.496396382361247,4.496396382361247,/boxscores/201209230clt.htm,1,0,0,1,,,,
44,2012,3,nor,kan,L,1,-8.5,3.0,24.0,27.0,27.0,17.0,35.0,35.0,2.0,3.0,1.0,0.0,6.63265306122449,7.166666666666667,12.65,9.36842105263158,6.037037037037037,6.25,5.341463414634147,5.583333333333333,23.0,33.0,34.0,50.0,0.5775004454782283,0.2966337374923472,0.518631510096799,0.3792966048847381,-9.582951273995558,0.7326780758318661,-9.582951273995487,0.7326780758318667,/boxscores/201209230nor.htm,0,1,0,0,,,,
45,2012,3,mia,nyj,L,-1,3.0,3.0,20.0,23.0,35.0,10.0,13.0,27.0,0.0,1.0,1.0,0.0,6.666666666666667,5.111111111111111,7.770833333333333,8.870967741935484,6.116279069767442,4.090909090909091,1.6428571428571428,2.357142857142857,21.0,63.0,42.0,107.0,0.5520423695567946,0.2399616996726774,-0.1780430159635053,0.5622698653461208,4.496396382361285,0.7326780758318661,0.7326780758318667,0.7326780758318667,/boxscores/201209230mia.htm,1,0,0,1,,,,
46,2012,3,min,sfo,W,-1,7.0,-11.0,24.0,13.0,20.0,27.0,23.0,19.0,1.0,1.0,0.0,1.0,7.0,7.290322580645161,7.225806451612903,7.1875,3.6538461538461537,5.481481481481482,2.8,3.1538461538461537,105.0,62.0,51.0,67.0,0.4640086228582575,0.2788096102953984,0.4224938520157101,0.3657473803703938,4.496396382361285,0.7326780758318661,0.7326780758318667,4.496396382361247,/boxscores/201209230min.htm,0,1,1,0,,,,
47,2012,3,rai,pit,W,-1,4.0,-3.0,34.0,31.0,13.0,27.0,35.0,10.0,1.0,0.0,0.0,1.0,7.770833333333333,8.870967741935484,6.666666666666667,5.111111111111111,1.6428571428571428,2.357142857142857,6.116279069767442,4.090909090909091,42.0,107.0,21.0,63.0,-0.1780430159635053,0.562269865346121,0.5520423695567944,0.2399616996726772,0.7326780758318661,0.7326780758318661,4.496396382361247,0.7326780758318667,/boxscores/201209230rai.htm,0,1,1,0,,,,
48,2012,4,crd,mia,W,1,-4.0,-3.0,24.0,21.0,27.0,20.0,6.0,23.0,0.0,2.0,3.0,2.0,9.25,5.444444444444445,5.864864864864865,6.8,2.911764705882353,4.3023255813953485,5.380952380952381,2.90625,45.0,65.0,65.0,108.0,0.365747380370394,0.5447005421140791,0.296633737492347,0.3056753090417799,-9.582951273995558,0.7326780758318661,-9.582951273995487,4.496396382361247,/boxscores/201209300crd.htm,1,0,0,1,,,,
49,2012,4,atl,car,W,1,-7.0,-2.0,30.0,28.0,27.0,7.0,3.0,36.0,1.0,5.0,4.0,0.0,6.875,8.727272727272727,4.552631578947368,7.891891891891892,4.576923076923077,3.0,6.823529411764706,4.310344827586207,15.0,22.0,17.0,38.0,0.699795395430742,0.4123086666157116,0.44070174006324,0.5145710096108542,0.7326780758318661,-9.582951273995558,0.7326780758318667,0.7326780758318667,/boxscores/201209300atl.htm,1,0,0,1,,,,
50,2012,4,rav,cle,W,1,-11.5,-7.0,23.0,16.0,31.0,14.0,30.0,24.0,1.0,2.0,0.0,1.0,9.794871794871796,5.511627906976744,8.170731707317072,5.942857142857143,4.653846153846154,2.5384615384615383,2.264705882352941,4.0588235294117645,135.0,57.0,83.0,75.0,0.5420898525693709,0.1169174805275565,0.4640086228582573,0.1876651014330935,-9.582951273995558,0.7326780758318661,0.7326780758318667,0.7326780758318667,/boxscores/201209270rav.htm,1,0,0,0,,,,
51,2012,4,buf,nwe,L,-1,4.5,24.0,28.0,52.0,24.0,30.0,14.0,31.0,1.0,0.0,2.0,1.0,5.942857142857143,8.170731707317072,5.511627906976744,9.794871794871796,4.0588235294117645,2.264705882352941,2.5384615384615383,4.653846153846154,75.0,83.0,57.0,135.0,0.1876651014330936,0.4640086228582575,0.1169174805275564,0.5420898525693704,0.7326780758318661,0.7326780758318661,0.7326780758318667,-9.582951273995487,/boxscores/201209300buf.htm,1,0,0,0,,,,
52,2012,4,dal,chi,L,1,-3.0,16.0,18.0,34.0,16.0,23.0,10.0,6.0,3.0,1.0,2.0,2.0,7.256410256410256,5.903225806451613,3.928571428571429,4.342857142857143,1.6521739130434785,3.0294117647058822,3.0,3.4705882352941178,105.0,45.0,69.0,40.0,0.2435541996152034,0.1876651014330936,0.0709636529068033,0.0883206456681734,-9.582951273995558,4.496396382361285,1.2318665543126022,-9.582951273995487,/boxscores/201210010dal.htm,1,0,0,0,,,,
