stadium,teams,lat,lon,city,tz,in_scope,roof_values_seen,season_min,season_max,county_fips,county_name,state_code,state_fips,fcc_status
Deutsche Bank Park,KC/NE (int'l host),50.0686,8.6455,"Frankfurt, DE",Europe/Berlin,False,outdoors,2023,2023,,,,,out_of_scope_international
Dolphin Stadium,MIA,25.958,-80.2389,"Miami Gardens, FL",America/New_York,True,outdoors,2009,2009,12086,Miami-Dade County,FL,12,OK
Edward Jones Dome,"STL (historic, pre-2016 relocation)",38.6329,-90.1886,"St. Louis, MO",America/Chicago,True,dome,2009,2015,29510,St. Louis city,MO,29,OK
Empower Field at Mile High,DEN,39.7439,-105.0201,"Denver, CO",America/Denver,True,outdoors,2019,2026,08031,Denver County,CO,08,OK
Estadio Banorte,LV (int'l host),25.6739,-100.2436,"Monterrey, MX",America/Mexico_City,False,outdoors,2026,2026,,,,,out_of_scope_international
EverBank Field,JAX,30.3239,-81.6373,"Jacksonville, FL",America/New_York,True,outdoors,2010,2017,12031,Duval County,FL,12,OK
EverBank Stadium,JAX,30.3239,-81.6373,"Jacksonville, FL",America/New_York,True,outdoors,2026,2026,12031,Duval County,FL,12,OK
FC Bayern Munich Stadium,DET (int'l host),48.2188,11.6247,"Munich, DE",Europe/Berlin,False,dome,2026,2026,,,,,out_of_scope_international
FedExField,WAS,38.9076,-76.8645,"Landover, MD",America/New_York,True,outdoors,2009,2025,24033,Prince George's County,MD,24,OK
FirstEnergy Stadium,CLE,41.5061,-81.6995,"Cleveland, OH",America/New_York,True,outdoors,2013,2025,39035,Cuyahoga County,OH,39,OK
Ford Field,DET,42.34,-83.0456,"Detroit, MI",America/New_York,True,dome,2009,2026,26163,Wayne County,MI,26,OK
GEHA Field at Arrowhead Stadium,KC,39.0489,-94.4839,"Kansas City, MO",America/Chicago,True,outdoors,2021,2026,29095,Jackson County,MO,29,OK
Georgia Dome,"ATL (historic, pre-2017)",33.7554,-84.4008,"Atlanta, GA",America/New_York,True,dome,2009,2016,13121,Fulton County,GA,13,OK
Giants Stadium,"NYG/NYJ (historic, pre-2010 demolition)",40.8128,-74.0742,"East Rutherford, NJ",America/New_York,True,outdoors,2009,2009,34003,Bergen County,NJ,34,OK
Gillette Stadium,NE,42.0909,-71.2643,"Foxborough, MA",America/New_York,True,outdoors,2009,2026,25021,Norfolk County,MA,25,OK
Hard Rock Stadium,MIA,25.958,-80.2389,"Miami Gardens, FL",America/New_York,True,outdoors,2016,2026,12086,Miami-Dade County,FL,12,OK
Heinz Field,PIT,40.4468,-80.0158,"Pittsburgh, PA",America/New_York,True,outdoors,2009,2021,42003,Allegheny County,PA,42,OK
Highmark Stadium,BUF,42.7738,-78.787,"Orchard Park, NY",America/New_York,True,outdoors,2026,2026,36029,Erie County,NY,36,OK
Hubert H. Humphrey Metrodome,MIN,44.974,-93.2581,"Minneapolis, MN",America/Chicago,True,dome,2009,2009,27053,Hennepin County,MN,27,OK
Huntington Bank Field,CLE,41.5061,-81.6995,"Cleveland, OH",America/New_York,True,outdoors,2026,2026,39035,Cuyahoga County,OH,39,OK
Invesco Field at Mile High,DEN,39.7439,-105.0201,"Denver, CO",America/Denver,True,outdoors,2009,2010,08031,Denver County,CO,08,OK
Jacksonville Municipal Stadium,JAX,30.3239,-81.6373,"Jacksonville, FL",America/New_York,True,outdoors,2009,2009,12031,Duval County,FL,12,OK
LP Field,TEN,36.1665,-86.7713,"Nashville, TN",America/Chicago,True,outdoors,2009,2014,47037,Davidson County,TN,47,OK
Lambeau Field,GB,44.5013,-88.0622,"Green Bay, WI",America/Chicago,True,outdoors,2009,2026,55009,Brown County,WI,55,OK
Levi's Stadium,SF,37.4032,-121.9698,"Santa Clara, CA",America/Los_Angeles,True,outdoors,2014,2026,06085,Santa Clara County,CA,06,OK
Lincoln Financial Field,PHI,39.9008,-75.1675,"Philadelphia, PA",America/New_York,True,outdoors,2009,2026,42101,Philadelphia County,PA,42,OK
Los Angeles Memorial Coliseum,"LA (historic, 2016-2019 temporary home pre-SoFi)",34.0141,-118.2879,"Los Angeles, CA",America/Los_Angeles,True,outdoors,2016,2019,06037,Los Angeles County,CA,06,OK
Louisiana Superdome,NO,29.9511,-90.0812,"New Orleans, LA",America/Chicago,True,dome,2009,2010,22071,Orleans Parish,LA,22,OK
Lucas Oil Stadium,IND,39.7601,-86.1639,"Indianapolis, IN",America/New_York,True,closed;open,2009,2026,18097,Marion County,IN,18,OK
